date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:26	55888/55888	---M-Z	200	added ('OK')	text/html	etag:W/%22ef3dd809e7c508293c14f42fe49464fc--gzip%22	https://mouawadlaurier.com/	./mouawadlaurier.com/index.html	(from )
12:24:26	503/503	---M-Z	200	added ('OK')	text/plain	date:Mon,%2023%20Mar%202026%2005:13:04%20GMT	https://mouawadlaurier.com/robots.txt		(from )
12:24:26	1988/1988	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Mar%202026%2011:24:26%20GMT	https://images.squarespace-cdn.com/content/v1/59c415bc8419c2f349b25253/1508834602650-WO3DL6NT1UVNBZPXJR5E/favicon.ico?format=100w	./images.squarespace-cdn.com/content/v1/59c415bc8419c2f349b25253/1508834602650-WO3DL6NT1UVNBZPXJR5E/faviconfc89.png	(from https://mouawadlaurier.com/)
12:24:27	8/8	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202026%2011:24:27%20GMT	https://images.squarespace-cdn.com/	./images.squarespace-cdn.com/index.html	(from https://mouawadlaurier.com/)
12:24:27	729/729	---M--	200	added ('OK')	application/rss+xml	etag:W/%228fa1dd176bd3b101c8a2687720d9968e%22	https://mouawadlaurier.com/work?format=rss	./mouawadlaurier.com/worka409	(from https://mouawadlaurier.com/)
12:24:29	109713/109713	---MCZ	200	added ('OK')	text/html	etag:W/%22c801b7cc7ef0a77a3960b32d501c5159--gzip%22	https://mouawadlaurier.com/peupler	./mouawadlaurier.com/peupler.html	(from https://mouawadlaurier.com/)
12:24:30	63736/63736	---MCZ	200	added ('OK')	text/html	etag:W/%2202c6535384e9eff6390ccbc02ab6f933--gzip%22	https://mouawadlaurier.com/paysage-sonore	./mouawadlaurier.com/paysage-sonore.html	(from https://mouawadlaurier.com/)
12:24:31	74770/74770	---MCZ	200	added ('OK')	text/html	etag:W/%22d7deb0c3a9abb4b312d63bb295ab19b3--gzip%22	https://mouawadlaurier.com/retour-aux-sources	./mouawadlaurier.com/retour-aux-sources.html	(from https://mouawadlaurier.com/)
12:24:32	88884/88884	---MCZ	200	added ('OK')	text/html	etag:W/%224c217b1d0ee97848e1a7ebb0896e9f4b--gzip%22	https://mouawadlaurier.com/ephemere	./mouawadlaurier.com/ephemere.html	(from https://mouawadlaurier.com/)
12:24:33	63302/63302	---M-Z	200	added ('OK')	text/html	etag:W/%223e738ec39d8e321b591c7321e0489551%22	https://mouawadlaurier.com/rising	./mouawadlaurier.com/rising.html	(from https://mouawadlaurier.com/)
12:24:34	58728/58728	---MCZ	200	added ('OK')	text/html	etag:W/%22bbb8e242c5acf6be2183ea617bbcda9b--gzip%22	https://mouawadlaurier.com/upperground	./mouawadlaurier.com/upperground.html	(from https://mouawadlaurier.com/)
12:24:35	57484/57484	---MCZ	200	added ('OK')	text/html	etag:W/%227ccf89fa3bdea970d3839d3ce2cd8690--gzip%22	https://mouawadlaurier.com/fuurin	./mouawadlaurier.com/fuurin.html	(from https://mouawadlaurier.com/)
12:24:36	70567/70567	---M-Z	200	added ('OK')	text/html	etag:W/%22be67d67119c7f37baeec29b14e88c323%22	https://mouawadlaurier.com/about	./mouawadlaurier.com/about.html	(from https://mouawadlaurier.com/)
12:24:37	66474/66474	---MCZ	200	added ('OK')	text/html	etag:W/%22fa162d93038f4c15df9dc5db1d328562--gzip%22	https://mouawadlaurier.com/press	./mouawadlaurier.com/press.html	(from https://mouawadlaurier.com/)
12:24:38	51328/51328	---MCZ	200	added ('OK')	text/html	etag:W/%223eb7949751609ba0e814fa13fc4cb2dd--gzip%22	https://mouawadlaurier.com/venues	./mouawadlaurier.com/venues.html	(from https://mouawadlaurier.com/)
12:24:39	55257/55257	---MCZ	200	added ('OK')	text/html	etag:W/%22ad522b05238dd1b8e9955025a51cad99--gzip%22	https://mouawadlaurier.com/contact	./mouawadlaurier.com/contact.html	(from https://mouawadlaurier.com/)
12:24:40	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202026%2011:24:39%20GMT	https://images.squarespace-cdn.com/robots.txt		(from https://mouawadlaurier.com/)
12:24:40	46420/46420	---MC-	404	error ('Not%20Found')	text/html	etag:W/%22a16b28f5675d965d377cf4e3997b024d%22	https://mouawadlaurier.com/%22https://player.vimeo.com/video/1032296710?app_id=122963&amp;wmode=opaque%22	./mouawadlaurier.com/_https_/player.vimeo.com/video/1032296710.d180e.delayed	(from https://mouawadlaurier.com/peupler)
12:24:41	46420/46420	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a16b28f5675d965d377cf4e3997b024d%22	https://mouawadlaurier.com/%22https://player.vimeo.com/video/876279290?app_id=122963&amp;wmode=opaque%22	./mouawadlaurier.com/_https_/player.vimeo.com/video/876279290.e180e.delayed	(from https://mouawadlaurier.com/peupler)
12:24:42	46420/46420	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a16b28f5675d965d377cf4e3997b024d%22	https://mouawadlaurier.com/%22https://player.vimeo.com/video/871855125?app_id=122963&amp;wmode=opaque%22	./mouawadlaurier.com/_https_/player.vimeo.com/video/871855125.f180e.delayed	(from https://mouawadlaurier.com/peupler)
12:24:43	46420/46420	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a16b28f5675d965d377cf4e3997b024d%22	https://mouawadlaurier.com/%22https://player.vimeo.com/video/772392954?h=872cbc33f1&amp;app_id=122963&amp;wmode=opaque%22	./mouawadlaurier.com/_https_/player.vimeo.com/video/772392954.104843.delayed	(from https://mouawadlaurier.com/paysage-sonore)
12:24:44	46420/46420	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a16b28f5675d965d377cf4e3997b024d%22	https://mouawadlaurier.com/%22https://player.vimeo.com/video/362816752?h=b796da7194&amp;app_id=122963&amp;wmode=opaque%22	./mouawadlaurier.com/_https_/player.vimeo.com/video/362816752.11804f.delayed	(from https://mouawadlaurier.com/retour-aux-sources)
12:24:45	46420/46420	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a16b28f5675d965d377cf4e3997b024d%22	https://mouawadlaurier.com/%22https://player.vimeo.com/video/432530431?app_id=122963&amp;wmode=opaque%22	./mouawadlaurier.com/_https_/player.vimeo.com/video/432530431.12180e.delayed	(from https://mouawadlaurier.com/retour-aux-sources)
